Type	English	Croatian	French	Spanish	Romanian	German	Portuguese
Void	A strange computer virus attacked the navigation system shortly after parting our home system. This caused the expedition fleet to fly in circles. Needless to say that the expedition wasn`t really successful.		Un virus informatique a fait planter votre système de navigation peu après que vous ayez quitté votre système solaire. Du coup, votre flotte a tourné en rond, inutile de préciser que cette expédition n`a donc fourni aucun résultat intéressant.	Un extraño virus informático atacó el sistema de navegación al poco de salir de nuestro sistema solar. Esto causó que la expedición volara en círculos. No hace falta decir que la expedición no fue realmente satisfactoria. 	Un virus de calculator a atacat sistemele de navigare cu putin dupa plecarea de pe sistemul nostru solar. Acest lucru a cauzat flota de expeditie sa zboare in cercuri. Nu mai e nevoie sa spunem ca expeditia nu a fost de prea mare succes.	Ein seltsames Computervirus legte kurz nach Verlassen des Sonnensystems die Navigation lahm. Dies führte dazu, dass die gesamte Expeditionsflotte die ganze Zeit im Kreis flog. Überflüssig zu sagen, dass die Expedition nicht besonders erfolgreich war.	Um virus de computador atacou o sistema de navegação mesmo antes da frota sair do nosso sistema solar. O virus fez com que a frota andasse a voar em círculo. Não deverá ser necessário dizer que a missão falhou.
Void	A living being made out of pure energy came aboard and induced all the expedition members into some strange trance, causing them to only gazed at the hypnotizing patterns on the computer screens. When most of them finally snapped out of the hypnotic-like state, the expedition mission needed to be aborted as they had way too little Deuterium.		Une forme de vie composée d`énergie pure a plongé pendant des jours tous les membres de votre expédition dans une hypnose profonde en diffusant un motif hypnotique sur les écrans des ordinateurs de bord. Lorsque la plupart d`entre eux sont enfin sortis de cet état second, les réserves de deutérium étaient si basses que l`expédition a dû être interrompue.	Un ser de pura energía se aseguró que todos los miembros de la expedición solo miraran el hipnotizante patrón de los monitores. Cuando la mayoría de ellos se despejaron de nuevo, la expedición debía ser abortada ya que quedaba poco Deuterio.	O fiinta formata din energie pura s-a asigurat ca toti membrii expeditiei au privit doar la tiparul hipnotizant a ecranelor. Cand majoritatea dintre ei s-au trezit din nou expeditia a trebuit sa fie abandonata deoarece aveau prea putin Deuteriu.	Eine Lebensform aus reiner Energie hat dafür gesorgt, dass sämtliche Expeditionsmitglieder tagelang auf die hypnotischen Muster auf den Bildschirmen starrten. Als endlich die Meisten wieder klar im Kopf waren, musste die Expedition aufgrund von akutem Deuterium-Mangel abgebrochen werden.	Um ser feito de energia hipnotizou toda a tripulação da missão. Quanto esta acordou estava longe e à deriva e quase sem Deutério. Devido a este encontro a missão teve de ser cancelada.
Void	A failure in the flagships reactor core nearly destroys the entire expedition fleet. Fortunately the technicians were more than competent and could avoid the worst. The repairs took quite some time and forced the expedition to return without having accomplished its goal.		Un problème de réacteur a failli détruire toute l`expédition. Heureusement que les techniciens ont fait du bon travail et ont pu éviter le pire. La réparation a cependant pris beaucoup de temps et l`expédition revient donc sans résultat aucun.	Un fallo en los motores de la nave insignia estuvo cerca de destruir la flota entera en expedición. Afortunadamente los técnicos,que eran más que competentes, evitaron lo peor. Las reparaciones llevaron algo de tiempo y la expedición se vio forzada a volver sin haber logrado nada. 	Un esec la reactorul navei lider aproape ca a distrus intreaga flota de expeditie. Din fericire tehnicienii reusit sa limiteze daunele. Reparatia a durat ceva timp si a fortat expeditia sa se intoarca fara sa rezolve nimic.	Ein Reaktorfehler des Führungsschiffes hätte beinahe die gesamte Expedition vernichtet. Zum Glück waren die Techniker mehr als fähig und konnten das Schlimmste verhindern. Die Reparatur nahm jedoch so viel Zeit in Anspruch, dass die Expedition unverrichteter Dinge wieder zurückkehren musste.	Um problema no reactor da nave principal quase que destruiu toda a frota de expedição. Felizmente os técnicos foram muito competentes e evitaram o pior. A reparação demorou algum tempo e forçou o retorno prematuro da frota.Entrada do diário dos Engenheiros de Comunicações: Descobrimos provas que indicam a presença de outras frotas em expedição.
Void	Due to a failure in the central computers of the flagship, the expedition mission had to be aborted. Unfortunately as a result of the computer malfunction, the fleet returns home empty handed.		Quelqu`un a installé un jeu de stratégie sur les ordinateurs de bord de votre expédition. Du coup, la flotte a fait un long voyage, mais sans résultat aucun.	Alguien instaló un viejo juego de estrategia en todos los ordenadores de la nave. La flota de la expedición estuvo ausente por un largo tiempo, pero no fue realmente productiva a causa de ello.		Irgendjemand hat auf allen Schiffscomputern ein uraltes Strategiespiel installiert. Die Expeditionsflotte war lange unterwegs, aber dadurch nicht besonders produktiv.	Alguém instalou um velho jogo de estratégia nos computadores da nave. Esta expedição esteve algum tempo fora mas não trouxe nenhuma notícia em especial.
Void	Your expedition has learnt about the extensive emptiness of space. There was not even one small asteroid or radiation or particle that could have made this expedition interesting.		Votre expédition a découvert... le vide. Pas de météorite, aucune radiation, aucune particule, il n`y avait rien qui aurait pu être utile pour votre expédition.	Tu expedición aprendió acerca del extenso vacío del espacio. No hubo ni un pequeño asteroide, radiación o partícula que pudiera haber hecho esta expedición interesante.	Expeditia ta a invatat despre pustietatea imensa a spatiului. Nu a existat nici macar un asteroid mic sau radiatie sau particula care sa fi facut aceasta expeditie incitanta.	Deine Expedition hat wortwörtlich mit der Leere des Alls Bekanntschaft gemacht. Es gab nicht einmal einen kleinen Asteroiden oder Strahlung oder Partikel oder irgendetwas, das diese Expedition aufregend gestaltet hätte.	A tripulação descobriu o significado da expressão "universo vasto". O relatório da missão não teve nenhum ponto interessante.
Void	Our expedition team came across a strange colony that had been abandoned eons ago. After landing, our crew started to suffer from a high fever caused by an alien virus. It has been learned that this virus wiped out the entire civilization on the planet. Our expedition team is heading home to treat the sickened crew members. Unfortunately we had to abort the mission and we come home empty handed.	Naš ekspedicijski tim je naišao na čudnu koloniju koja je već jako dugo napuštena. Nakon slijetanja našu ekipu je pogodila velika temperatura od stranog virusa. Kasnije su saznali da je taj virus pobio cijelu kolonizaciju koja je živjela na koloniji. Naš tim se sada vraća doma, i nažalos ne nosi ništa nazad.	Nous n`aurions peut-être pas dû fêter l`anniversaire du capitaine sur cette planète isolée. L`équipage a contracté une espèce de paludisme qui a envoyé une bonne partie de l`équipage à l`infirmerie. Ce manque de personnel inattendu à fait échouer la mission.	Probablemente la celebración del cumpleaños del capitán no debió hacerse en ese planeta desierto. Una fiebre terrible y desconocida causó que la gran mayoría de la tripulación de la expedición tuvieran que estar en la enfermería durante el resto de la expedición. Debido a la escasez de personal la expedición fracasó.	Echipa noastră de expediție a ajuns la o colonie abandonată de milenii. După ce au aterizat, echipajul a fost infectat cu un virus necunoscut. Acum știm ce a omorât această colonie. Expediția se întoarce acasă pentru a-și trata membrii bolnavi. Din păcate, a trebuit să abandonăm misiunea și ne întoarcem cu mâna goală.	Vielleicht hätte man den Geburtstag des Captains nicht auf diesem abgelegenen Planeten feiern sollen. Ein fieses Dschungelfieber hat große Teile der Crew gezwungen, die Reise in der Krankenstation zu verbringen. Der unerwartete Personalausfall führte dazu, dass die Expedition scheiterte.	Provavelmente a festa de aniversário do capitão não deveria ter sido realizada naquele planeta isolado. Uma terrível e desconhecida febre atacou os tripulantes e devido à falta de pessoal a missão teve de ser cancelada.
Void	Despite the first, very promising scans of this sector, we unfortunately returned empty handed.	Iako su prva skeniranja sektora bila dobra flota se nažalost vratila praznih ruku.	Malgré un scan du secteur assez prometteur, l`expédition revient les mains et les soutes vides.	A pesar de los resultados iniciales, escaneos del sector muy prometedores, volvimos, desafortunadamente, con las manos vacías.	In ciuda primelor, foarte promitatoare scanari ale sectorului, din nefericire ne-am intors cu mainile goale.	Trotz der ersten vielversprechenden Scans dieses Sektors kommen wir leider mit leeren Händen zurück.	Embora este sector tenha mostrado resultados interessantes nos relatórios primários, a missão não teve a mesma sorte. A frota voltou de mãos vazias.
Void	Well, now we know that those red, class 5 anomalies do not only have chaotic effects on the ships navigation systems but also generate massive hallucination on the crew. The expedition didn`t bring anything back.		Bien, nous savons désormais que les anomalies de classe 5 ne causent pas seulement un chaos total dans les systèmes de vos vaisseaux, mais qu`elles ont aussi un effet hallucinogène sur l`équipage. En dehors de cette constatation, cette expédition ne nous a pas apporté grand chose.	Bueno, ahora sabemos que esas 5 anomalías rojas no solo tienen efectos caóticos en los sistemas de navegación de la nave sino que también generan alucinaciones masivas en la tripulación. La expedición no trajo nada de vuelta. 	Ei bine, acum stim ca acele anomalii rosii, clasa 5 nu doar ca au efect rau asupra navigatiei sistemelor navelor dar de asemenea genereaza o halucinare masiva asupra echipajului. Expeditia nu a adus nimic inapoi.	Nun, zumindest weiß man jetzt, dass rote Anomalien der Klasse 5 nicht nur chaotische Auswirkungen auf die Schiffssysteme haben, sondern auch massive Halluzinationen bei der Crew auslösen können. Viel mehr hat diese Expedition aber nicht gebracht.	Bem, agora sabemos que aquelas anomalias vermelhas de classe 5 para além de ter efeitos caóticos nos sistemas de navegação também são altamente alucinogénos.
Void	Your expedition took gorgeous pictures of a super nova. Nothing new could be obtained from the expedition, but at least there is good chance to win that \"Best Picture Of The Universe\" competition in next months issue of OGame magazine.		Votre expédition a fait de superbes images d`une supernova. Mis à part, aucune information vraiment passionnante, mais votre photographe a de bonnes chances de remporter le Prix Meilleur Image de l`univers de l`année	Tu expedición hizo magníficas fotos de una super nova. No se obtuvo nada de la expedición pero al menos hay muchas posibilidades de ganar el concurso "Mejor Foto del Universo" este año.	Expeditia ta a facut poze superbe la o super nova. Nimic nou nu a putut fi obtinut din expeditie dar macar sunt sanse bune sa castigi competitia de "Cea mai Buna Poza din Univers" de anu viitor.	Deine Expedition hat wunderschöne Bilder einer Supernova gemacht. Wirklich neue Erkenntnisse hat diese Expedition jedoch nicht gebracht. Aber man hat gute Chancen auf den Sieg im diesjährigen Bestes-Bild-des-Universums-Wettbewerb!	A expedição tirou lindas fotos de uma super nova. Nada de novo foi encontrado na viagem mas pelo menos poderemos tentar ganhar o prémio de "melhor fotografia" este ano.
Void	Your expedition fleet followed odd signals for some time. At the end they noticed that those signals where being sent from an old probe which was sent out generations ago to greet foreign species. The probe was saved and some museums of your home planet already voiced their interest.		Votre expédition a suivi la trace de signaux bizarres. Apparemment, ces signaux provenaient d`une très vielle sonde lancée dans l`espace il y a plusieurs générations pour envoyer un message à des espèces inconnues. La sonde a été récupérée, plusieurs musées de la planète-mère sont déjà intéressés pour l`exposer.	Tu flota en expedición siguió señales fuera de lo común algún tiempo. Al final ellos se percataron que esas señales estaban siendo emitidas desde una vieja sonda que fue lanzada tiempo atrás para dar la bienvenida a especies desconocidas. La sonda fue guardada y algunos museos de tu planeta base ya han manifestado su interés.	Flota ta de expeditie a urmarit niste semnale ciudate pentru ceva vreme. La final au observat ca acele semnale erau trimise de la o sonda veche care a fost trimisa acum multe generatii pentru a intampina specile straine. Sonda a fost salvata si ceva muzee de pe planeta ta mama deja si-au exprimat interesul.	Deine Expeditionsflotte folgte einige Zeit seltsamen Signalen. Schließlich musste sie feststellen, dass die Signale zu einer uralten Sonde gehören, die wohl vor einigen Generationen losgeschickt wurde, um fremde Spezies zu begrüßen. Die Sonde wurde geborgen und mehrere Museen deines Hauptplaneten haben schon Interesse daran verlauten lassen.	A tua frota de expedição seguiu uns sinais estranhos por algum tempo. No final, descobriram que era uma sonda enviada à muitas gerações atrás para cumprimentar espécies desconhecidas A sonda foi resgatada e alguns museus já demonstraram interesse por ela
